Name,Price,old_price,link,rating,percentage
"Hp CHROMEBOOK 11 G4, INTEL CELERON, 4GB RAM,16GB SSD 32GBFLASH","₦ 83,000","₦ 110,000",https://www.jumia.com.ng/laptops//hp-chromebook-11-g4-intel-celeron-4gb-ram16gb-ssd-32gbflash-205218034.html,,25%
Hp ProBook 11 X360- 128GB SSD TOUCHSCREEN Intel PENTIUM -4GB RAM WIN10 Pro +32GB FLASH,"₦ 140,000","₦ 175,000",https://www.jumia.com.ng/laptops//ideapad-14-amd-quad-core-1tb-hdd-8gb-ram-win-1032gb-flash-lenovo-mpg1638510.html,4.5 out of 5,20%
"Hp Stream 14 Intel Celeron,4GB RAM 64GB EMMC,Wins 10 In S Mode","₦ 155,000",,https://www.jumia.com.ng/laptops//hp-stream-14-intel-celeron4gb-ram-64gb-emmcwins-10-in-s-mode-79996699.html,3 out of 5,
"Hp 15 TOUCHSCREEN 11TH GEN, INTEL CORE I3, 16GB RAM, 256GB SSD, WINS 11","₦ 375,000","₦ 385,000",https://www.jumia.com.ng/laptops//hp-15-touchscreen-11th-gen-intel-core-i3-16gb-ram-256gb-ssd-wins-11-205300238.html,,3%
"Hp 15 AMD 3020e Dual Core 256GB SSD,8GB RAM, Wins 10","₦ 224,500","₦ 235,000",https://www.jumia.com.ng/laptops//15-amd-3020e-dual-core-256gb-ssd8gb-ram-wins-10-hp-mpg1652325.html,4 out of 5,4%
Hp Notebook 11 - 256GB SSD Intel PENTIUM Q/C- TOUCH 4GB RAM Windows 10 Pro+ USB Light For Keyboard,"₦ 145,000","₦ 150,000",https://www.jumia.com.ng/laptops//hp-notebook-11-256gb-ssd-intel-pentium-qc-touch-4gb-ram-windows-10-pro-usb-light-for-keyboard-116243529.html,,3%
Hp Stream 11 Pro- Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ BAG,"₦ 110,000","₦ 170,000",https://www.jumia.com.ng/laptops//hp-stream-11-pro-intel-celeron-education-edition-4gb-ram-64gb-hdd-windows-10-pro-bag-83725184.html,4.8 out of 5,35%
Hp Probook 11 X360 G5 EE Intel Celeron 4GB Ram 64GB EMMC Wins 10 Pro In S Mode,"₦ 195,400",,https://www.jumia.com.ng/laptops//hp-probook-11-x360-g5-ee-intel-celeron-4gb-ram-64gb-emmc-wins-10-pro-in-s-mode-98657600.html,,
Hp ProBook 11 X360- 512GB SSD TOUCHSCREEN Intel PENTIUM Q/C  4GB RAM WIN10 Pro+ USB Light For Keyboard,"₦ 170,000",,https://www.jumia.com.ng/laptops//hp-probook-11-x360-512gb-ssd-touchscreen-intel-pentium-qc-4gb-ram-win10-pro-usb-light-for-keyboard-70469811.html,,
Hp 15 Intel Celeron Dualcore 8GB RAM 1TB HDD Windows 10 +Free Bag,"₦ 238,000","₦ 260,000",https://www.jumia.com.ng/laptops//hp-15-intel-celeron-dualcore-8gb-ram-1tb-hdd-windows-10-free-bag-78301131.html,4.4 out of 5,8%
"Hp 15 Intel Celeron N4020 8GB RAM, 1TB HDD, Wins 10 + Bag","₦ 193,700","₦ 233,000",https://www.jumia.com.ng/laptops//hp-15-intel-celeron-n4020-8gb-ram-1tb-hdd-wins-10-bag-121145543.html,,17%
Hp ProBook 11 X360- 128GB SSD Intel PENTIUM QUAD CORE 4GB RAM WIN10 Pro+ 32GB FLASH,"₦ 140,000","₦ 269,000",https://www.jumia.com.ng/laptops//hp-probook-11-x360-128gb-ssd-intel-pentium-quad-core-4gb-ram-win10-pro-32gb-flash-90086613.html,5 out of 5,48%
Hp Stream 11 Intel Celeron - 64GB SSD 4GB RAM Windows 10+ 64GB Flash- USB Light For Keyboard,"₦ 110,000","₦ 179,900",https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-64gb-ssd-4gb-ram-windows-10-64gb-flash-usb-light-for-keyboard-82176645.html,3.9 out of 5,39%
Hp Pavilion 15- AMD RYZEN 3 -16GB RAM/512GB SSD 2.6GHz - 3.5GHz- Windows 11,"₦ 515,700",,https://www.jumia.com.ng/laptops//hp-pavilion-15-amd-ryzen-3-16gb-ram512gb-ssd-2.6ghz-3.5ghz-windows-11-78517741.html,4.3 out of 5,
Hp ProBook 11 X360- TOUCH Intel Celeron 128GB 4GB RAM WIN10 Pro,"₦ 140,000","₦ 175,000",https://www.jumia.com.ng/laptops//hp-probook-11-x360-touch-intel-celeron-128gb-4gb-ram-win10-pro-79006555.html,4.8 out of 5,20%
"Hp 11 G3, INTEL CELERON, 4GB RAM,16GB SSD + 32GB FLASH + BAG","₦ 90,000","₦ 112,000",https://www.jumia.com.ng/laptops//hp-11-g3-intel-celeron-4gb-ram16gb-ssd-32gb-flash-bag-100089532.html,,20%
Hp Stream 11 Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Mouse,"₦ 98,000",,https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-education-edition-4gb-ram-64gb-hdd-windows-10-mouse-144371916.html,,
Hp ProBook 11 X360-  256GB SSD TOUCHSCREEN Intel PENTIUM  4GB RAM WIN10 Pro+ USB LIGHT,"₦ 150,000","₦ 192,000",https://www.jumia.com.ng/laptops//hp-probook-11-x360-256gb-ssd-touchscreen-intel-pentium-4gb-ram-win10-pro-usb-light-70323160.html,4 out of 5,22%
Hp Pavilion 15- AMD RYZEN 3-Keyboard Light -16GB RAM/512GB SSD 2.6GHz - 3.5GHz- Windows 10 Pro,"₦ 530,000",,https://www.jumia.com.ng/laptops//hp-pavilion-15-amd-ryzen-3-keyboard-light-16gb-ram512gb-ssd-2.6ghz-3.5ghz-windows-10-pro-71259624.html,4.8 out of 5,
Hp ProBook 11 X360- 256GB SSD TOUCHSCREEN Intel PENTIUM QUAD CORE  4GB RAM WIN10 Pro,"₦ 150,000","₦ 192,000",https://www.jumia.com.ng/laptops//hp-probook-11-x360-256gb-ssd-touchscreen-intel-pentium-quad-core-4gb-ram-win10-pro-105388358.html,4.5 out of 5,22%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10+ BAG,"₦ 110,000","₦ 160,000",https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-dc-4gb-ram-64gb-hdd-win-10-bag-98322681.html,4.3 out of 5,31%
Hp Notebook 15- AMD RYZEN 3-Keyboard Light -16GB RAM/1TB HDD 2.6GHz - 3.5GHz- Windows 10 Pro,"₦ 275,000",,https://www.jumia.com.ng/laptops//hp-notebook-15-amd-ryzen-3-keyboard-light-16gb-ram1tb-hdd-2.6ghz-3.5ghz-windows-10-pro-77548699.html,5 out of 5,
Hp ProBook 11 Inches X360  INTEL PENTIUM 256GB SSD- 4GB RAM Windows 10 Pro + HP Mouse & Usb Led Light,"₦ 150,000","₦ 250,000",https://www.jumia.com.ng/laptops//hp-probook-11-inches-x360-intel-pentium-256gb-ssd-4gb-ram-windows-10-pro-hp-mouse-usb-led-light-175480271.html,,40%
Hp Notebook 15 AMD RYZEN 3-Keyboard Light -16GB RAM 2.6GHz - 3.5GHz 1TB HDD Windows 11 + Mouse,"₦ 275,000",,https://www.jumia.com.ng/laptops//hp-notebook-15-amd-ryzen-3-keyboard-light-16gb-ram-2.6ghz-3.5ghz-1tb-hdd-windows-11-mouse-106128586.html,4.7 out of 5,
"Hp Pavilion 15 11th Gen Intel Core I7 16GB, 512 SSD Touch/Backlit Keyboard Wins 11 + Free Mouse","₦ 655,900","₦ 683,000",https://www.jumia.com.ng/laptops//hp-pavilion-15-11th-gen-intel-core-i7-16gb-512-ssd-touchbacklit-keyboard-wins-11-free-mouse-122301190.html,5 out of 5,4%
